transaction_id,customer_id,transaction_amount,payment_method,device_type,location,merchant_category,is_international,account_age_days,fraud_flag,transaction_timestamp,transaction_frequency_24h,avg_transaction_amount_7d,unusual_amount_flag,multiple_transactions_short_time,velocity_flag,risk_score,fraud_risk
T0000086,C22196,2.08,"Google Pay",Tablet,UK,Luxury,1,1322,1,"2025-10-20 19:56:00",0,NULL,0,0,0,0,Low
T0000087,C27217,74.99,"Google Pay",Mobile,Australia,Electronics,0,1791,0,"2025-06-13 19:56:00",0,NULL,0,0,0,0,Low
T0000088,C26091,120.97,PayPal,Desktop,Germany,Electronics,0,771,0,"2025-07-15 19:56:00",0,NULL,0,0,0,0,Low
T0000089,C16580,325.15,PayPal,Mobile,India,Luxury,1,525,1,"2025-06-03 19:56:00",0,128.33,1,0,0,1,Medium
T0000090,C29216,114.81,"Google Pay",Desktop,UK,Gaming,0,905,0,"2025-09-07 19:56:00",0,NULL,0,0,0,0,Low
T0000091,C25384,121.41,PayPal,Desktop,Australia,Fashion,1,1708,1,"2025-08-26 19:56:00",0,NULL,0,0,0,0,Low
T0000092,C27222,123.7,"Google Pay",Desktop,UK,Gaming,1,1646,1,"2026-03-17 19:56:00",0,NULL,0,0,0,0,Low
T0000093,C21896,118,"Debit Card",Mobile,India,Groceries,1,1076,1,"2025-10-18 19:56:00",0,NULL,0,0,0,0,Low
T0000094,C26144,26.15,"Google Pay",Desktop,Germany,Electronics,1,1286,1,"2025-12-19 19:56:00",0,NULL,0,0,0,0,Low
T0000095,C16929,11.9,"Debit Card",Mobile,Australia,Luxury,0,785,0,"2026-01-23 19:56:00",0,NULL,0,0,0,0,Low
T0000096,C15601,58.41,PayPal,Desktop,USA,Fashion,1,124,1,"2025-06-04 19:56:00",0,NULL,0,0,0,0,Low
T0000097,C13252,39.73,"Apple Pay",Desktop,Australia,Gaming,0,1526,0,"2025-05-11 19:56:00",0,NULL,0,0,0,0,Low
T0000098,C17398,331.09,PayPal,Tablet,Germany,Luxury,1,1030,1,"2025-11-05 19:56:00",0,NULL,0,0,0,0,Low
T0000099,C14869,39.76,"Debit Card",Desktop,UK,Groceries,1,1722,0,"2025-12-13 19:56:00",0,NULL,0,0,0,0,Low
T0000100,C03918,157.85,"Google Pay",Mobile,UK,Gaming,0,1813,0,"2025-07-30 19:56:00",0,NULL,0,0,0,0,Low
T0000101,C19556,67.24,PayPal,Mobile,Canada,Electronics,0,882,0,"2025-12-07 19:56:00",0,NULL,0,0,0,0,Low
T0000102,C23201,56.93,"Google Pay",Desktop,USA,Groceries,0,1375,0,"2025-07-31 19:56:00",0,NULL,0,0,0,0,Low
T0000103,C22853,42.4,"Apple Pay",Mobile,USA,Groceries,1,454,1,"2026-02-25 19:56:00",0,NULL,0,0,0,0,Low
T0000104,C06042,282.95,"Apple Pay",Desktop,USA,Travel,1,727,1,"2026-04-04 19:56:00",0,NULL,0,0,0,0,Low
T0000105,C02428,135.53,"Debit Card",Mobile,UK,Electronics,0,1102,0,"2025-07-09 19:56:00",0,NULL,0,0,0,0,Low
T0000106,C18287,41.64,"Apple Pay",Tablet,India,Groceries,0,1517,1,"2025-09-29 19:56:00",0,NULL,0,0,0,0,Low
T0000107,C28186,350.69,"Google Pay",Desktop,Germany,Luxury,1,1075,1,"2025-07-03 19:56:00",0,NULL,0,0,0,0,Low
T0000108,C03252,439.11,"Debit Card",Desktop,Australia,Fashion,0,1196,1,"2026-01-14 19:56:00",0,NULL,0,0,0,0,Low
T0000109,C05696,262.39,"Google Pay",Mobile,USA,Travel,0,1042,1,"2025-07-22 19:56:00",0,NULL,0,0,0,0,Low
T0000110,C09544,172.01,"Apple Pay",Desktop,Australia,Electronics,0,1201,1,"2026-04-14 19:56:00",0,NULL,0,0,0,0,Low
T0000111,C22525,9.07,"Apple Pay",Tablet,Germany,Electronics,1,1550,0,"2026-01-01 19:56:00",0,NULL,0,0,0,0,Low
T0000112,C17845,86.42,"Credit Card",Desktop,UK,Fashion,0,1866,0,"2026-01-05 19:56:00",0,NULL,0,0,0,0,Low
T0000113,C25973,254.79,PayPal,Desktop,USA,Luxury,1,1334,0,"2025-11-24 19:56:00",0,NULL,0,0,0,0,Low
T0000114,C13190,167.99,"Apple Pay",Desktop,USA,Luxury,1,454,0,"2025-12-12 19:56:00",0,NULL,0,0,0,0,Low
T0000115,C10562,56.98,"Google Pay",Mobile,USA,Gaming,1,1564,0,"2025-06-25 19:56:00",0,NULL,0,0,0,0,Low
T0000116,C00680,14.15,"Apple Pay",Tablet,USA,Gaming,1,1253,0,"2025-05-21 19:56:00",0,NULL,0,0,0,0,Low
T0000117,C21349,101.69,"Apple Pay",Mobile,Germany,Electronics,1,904,1,"2025-09-16 19:56:00",0,NULL,0,0,0,0,Low
T0000118,C15402,125.71,"Debit Card",Desktop,Canada,Groceries,1,199,0,"2025-11-03 19:56:00",0,NULL,0,0,0,0,Low
T0000119,C13489,61.34,"Google Pay",Desktop,Australia,Electronics,1,943,1,"2025-05-10 19:56:00",0,NULL,0,0,0,0,Low
T0000120,C14904,68.8,"Apple Pay",Desktop,Canada,Gaming,1,1862,1,"2026-03-16 19:56:00",0,NULL,0,0,0,0,Low
T0000121,C27032,46.75,"Google Pay",Desktop,USA,Groceries,1,1262,0,"2026-04-30 19:56:00",0,NULL,0,0,0,0,Low
T0000122,C20403,35,PayPal,Mobile,UK,Travel,1,56,1,"2025-08-18 19:56:00",0,NULL,0,0,0,0,Low
T0000123,C28864,119.12,PayPal,Mobile,USA,Gaming,1,1406,1,"2025-05-08 19:56:00",0,NULL,0,0,0,0,Low
T0000124,C00449,143.25,"Credit Card",Mobile,UK,Luxury,1,980,0,"2025-07-22 19:56:00",0,NULL,0,0,0,0,Low
T0000125,C27268,39.58,"Apple Pay",Tablet,Canada,Travel,1,382,1,"2026-02-11 19:56:00",0,NULL,0,0,0,0,Low
T0000126,C15474,38.98,"Debit Card",Tablet,UK,Gaming,1,1349,1,"2025-12-27 19:56:00",0,NULL,0,0,0,0,Low
T0000127,C16655,105.15,"Google Pay",Desktop,India,Groceries,0,1737,1,"2026-02-20 19:56:00",0,NULL,0,0,0,0,Low
T0000128,C26888,72.45,"Debit Card",Tablet,Canada,Travel,1,1757,1,"2026-04-29 19:56:00",0,NULL,0,0,0,0,Low
T0000129,C17649,110.79,"Apple Pay",Desktop,Germany,Groceries,1,1286,1,"2025-08-26 19:56:00",0,NULL,0,0,0,0,Low
T0000130,C28496,338.68,"Apple Pay",Tablet,India,Electronics,0,459,0,"2026-01-24 19:56:00",0,NULL,0,0,0,0,Low
T0000131,C10427,10.36,"Apple Pay",Desktop,Australia,Electronics,1,1038,1,"2025-08-31 19:56:00",0,NULL,0,0,0,0,Low
T0000132,C04137,3.21,"Apple Pay",Mobile,India,Electronics,1,233,0,"2025-08-16 19:56:00",0,NULL,0,0,0,0,Low
T0000133,C23674,506.28,"Apple Pay",Tablet,UK,Groceries,1,1887,1,"2026-02-16 19:56:00",0,NULL,0,0,0,0,Low
T0000134,C11094,212.05,"Google Pay",Tablet,USA,Travel,1,114,1,"2025-06-15 19:56:00",0,10.54,1,0,0,1,Medium
T0000135,C10377,64.3,"Debit Card",Tablet,USA,Luxury,1,718,1,"2025-06-14 19:56:00",1,144.95,0,0,0,0,Low
T0000136,C22427,980.69,"Credit Card",Tablet,USA,Luxury,0,1598,1,"2025-12-04 19:56:00",0,NULL,0,0,0,0,Low
T0000137,C23066,347.54,"Credit Card",Mobile,Australia,Groceries,1,1111,1,"2026-03-10 19:56:00",0,NULL,0,0,0,0,Low
T0000138,C26089,27.54,"Debit Card",Desktop,Canada,Fashion,1,1805,1,"2026-04-02 19:56:00",0,NULL,0,0,0,0,Low
T0000139,C17406,31.15,"Apple Pay",Mobile,UK,Gaming,0,1381,0,"2025-10-02 19:56:00",0,NULL,0,0,0,0,Low
T0000140,C22385,37.55,"Apple Pay",Tablet,UK,Luxury,1,447,0,"2025-12-28 19:56:00",0,NULL,0,0,0,0,Low
T0000141,C08323,177.58,PayPal,Tablet,USA,Luxury,1,1087,1,"2025-09-07 19:56:00",0,NULL,0,0,0,0,Low
T0000142,C17911,412.94,"Apple Pay",Desktop,Canada,Luxury,0,410,1,"2026-02-09 19:56:00",0,NULL,0,0,0,0,Low
T0000143,C08196,17.27,"Apple Pay",Mobile,India,Gaming,1,1943,1,"2025-09-09 19:56:00",0,NULL,0,0,0,0,Low
T0000144,C11763,146.12,"Apple Pay",Tablet,Canada,Groceries,1,747,0,"2025-07-10 19:56:00",0,NULL,0,0,0,0,Low
T0000145,C00266,51.8,PayPal,Tablet,Australia,Fashion,0,444,0,"2025-07-15 19:56:00",0,NULL,0,0,0,0,Low
T0000146,C19893,281.41,"Debit Card",Tablet,UK,Luxury,0,993,0,"2025-11-01 19:56:00",0,NULL,0,0,0,0,Low
T0000147,C03184,289.58,"Google Pay",Desktop,India,Groceries,0,90,1,"2025-06-13 19:56:00",0,NULL,0,0,0,0,Low
T0000148,C23998,358.34,"Debit Card",Desktop,Canada,Fashion,0,1363,0,"2026-02-22 19:56:00",0,NULL,0,0,0,0,Low
T0000149,C04331,175.8,"Debit Card",Tablet,Germany,Groceries,1,1807,1,"2025-07-28 19:56:00",0,NULL,0,0,0,0,Low
T0000150,C29952,81.42,"Apple Pay",Tablet,Canada,Electronics,1,1785,1,"2025-08-27 19:56:00",0,NULL,0,0,0,0,Low
T0000151,C04613,50.15,"Apple Pay",Tablet,Canada,Electronics,1,1407,0,"2026-01-05 19:56:00",0,NULL,0,0,0,0,Low
T0000152,C08666,143.55,"Google Pay",Desktop,Canada,Travel,0,1228,0,"2025-07-30 19:56:00",0,NULL,0,0,0,0,Low
T0000153,C26949,248.88,"Google Pay",Mobile,Australia,Gaming,1,70,1,"2025-06-08 19:56:00",0,NULL,0,0,0,0,Low
T0000154,C10749,25.63,PayPal,Tablet,USA,Luxury,0,613,0,"2025-06-22 19:56:00",0,NULL,0,0,0,0,Low
T0000155,C13380,51.26,"Credit Card",Mobile,USA,Electronics,0,654,0,"2026-03-02 19:56:00",0,NULL,0,0,0,0,Low
T0000156,C07694,74.12,"Google Pay",Desktop,India,Travel,0,1111,0,"2025-07-29 19:56:00",0,NULL,0,0,0,0,Low
T0000157,C19246,48.08,"Google Pay",Tablet,USA,Travel,1,56,1,"2026-02-10 19:56:00",0,NULL,0,0,0,0,Low
T0000158,C09167,118.63,PayPal,Mobile,India,Electronics,1,346,1,"2026-04-14 19:56:00",0,NULL,0,0,0,0,Low
T0000159,C22469,38.9,"Credit Card",Mobile,India,Travel,1,1286,1,"2025-10-24 19:56:00",0,NULL,0,0,0,0,Low
T0000160,C03004,514.47,"Credit Card",Tablet,Australia,Groceries,0,37,0,"2025-05-26 19:56:00",0,NULL,0,0,0,0,Low
T0000161,C07982,55.24,"Debit Card",Mobile,Germany,Groceries,0,535,0,"2026-02-25 19:56:00",0,NULL,0,0,0,0,Low
T0000162,C25375,19.18,"Google Pay",Desktop,UK,Groceries,0,1784,0,"2026-02-14 19:56:00",0,NULL,0,0,0,0,Low
T0000163,C26166,3.71,"Credit Card",Tablet,USA,Groceries,0,1916,0,"2026-01-31 19:56:00",0,NULL,0,0,0,0,Low
T0000164,C25887,33.32,"Apple Pay",Mobile,UK,Gaming,1,723,1,"2025-12-30 19:56:00",0,NULL,0,0,0,0,Low
T0000165,C03725,99.6,"Apple Pay",Desktop,Canada,Gaming,1,135,0,"2026-03-29 19:56:00",0,NULL,0,0,0,0,Low
T0000166,C07260,15.31,"Apple Pay",Tablet,Australia,Luxury,0,1613,0,"2025-06-20 19:56:00",0,NULL,0,0,0,0,Low
T0000167,C01021,52.64,"Apple Pay",Desktop,India,Luxury,1,120,1,"2026-03-30 19:56:00",0,NULL,0,0,0,0,Low
T0000168,C29810,160.19,PayPal,Mobile,Canada,Gaming,0,604,0,"2025-09-15 19:56:00",0,NULL,0,0,0,0,Low
T0000169,C20745,57.13,"Apple Pay",Desktop,Germany,Gaming,1,1353,1,"2025-07-05 19:56:00",0,NULL,0,0,0,0,Low
T0000170,C19839,101.49,"Apple Pay",Tablet,USA,Travel,0,1410,0,"2025-09-22 19:56:00",0,NULL,0,0,0,0,Low
T0000171,C29101,32.5,"Apple Pay",Desktop,India,Luxury,1,1383,1,"2026-01-04 19:56:00",0,NULL,0,0,0,0,Low
T0000172,C03116,24.78,PayPal,Desktop,Australia,Fashion,1,768,1,"2025-11-21 19:56:00",0,NULL,0,0,0,0,Low
T0000173,C22506,6.36,PayPal,Mobile,USA,Fashion,0,477,0,"2025-08-31 19:56:00",0,NULL,0,0,0,0,Low
T0000174,C18232,418.69,PayPal,Tablet,USA,Luxury,1,1639,1,"2026-03-31 19:56:00",0,NULL,0,0,0,0,Low
T0000175,C24586,22.49,PayPal,Desktop,Germany,Electronics,0,856,0,"2025-09-26 19:56:00",0,NULL,0,0,0,0,Low
T0000176,C18938,91.9,"Credit Card",Mobile,Australia,Groceries,0,1678,1,"2025-08-14 19:56:00",0,NULL,0,0,0,0,Low
T0000177,C27702,24.85,"Google Pay",Mobile,Canada,Gaming,1,234,1,"2025-07-20 19:56:00",0,NULL,0,0,0,0,Low
T0000178,C20106,159.93,"Credit Card",Tablet,Australia,Fashion,0,663,1,"2025-05-20 19:56:00",0,27.69,1,0,0,1,Medium
T0000179,C08955,40.87,"Debit Card",Desktop,Canada,Fashion,1,854,0,"2025-05-06 19:56:00",0,NULL,0,0,0,0,Low
T0000180,C18558,91.27,"Google Pay",Mobile,UK,Fashion,1,270,0,"2025-05-29 19:56:00",0,NULL,0,0,0,0,Low
T0000181,C12328,7.86,PayPal,Desktop,UK,Luxury,1,1629,1,"2025-09-28 19:56:00",0,NULL,0,0,0,0,Low
T0000182,C10630,35.27,"Credit Card",Mobile,UK,Luxury,0,920,0,"2025-07-14 19:56:00",0,NULL,0,0,0,0,Low
T0000183,C02674,76.54,"Google Pay",Tablet,India,Travel,1,1614,0,"2025-12-12 19:56:00",0,NULL,0,0,0,0,Low
T0000184,C13572,213.07,"Apple Pay",Tablet,USA,Electronics,0,385,1,"2025-12-12 19:56:00",0,NULL,0,0,0,0,Low
T0000185,C09282,564.33,"Credit Card",Tablet,Australia,Fashion,1,522,1,"2025-05-18 19:56:00",0,70.58,1,0,0,1,Medium
T0000186,C12952,162.17,"Debit Card",Mobile,UK,Groceries,0,1873,1,"2025-06-28 19:56:00",0,NULL,0,0,0,0,Low
T0000187,C09485,211.19,"Apple Pay",Mobile,India,Gaming,0,734,1,"2025-11-14 19:56:00",0,NULL,0,0,0,0,Low
T0000188,C23058,24.76,"Apple Pay",Mobile,India,Electronics,1,583,0,"2026-01-03 19:56:00",0,NULL,0,0,0,0,Low
T0000189,C28250,53.34,PayPal,Tablet,India,Electronics,1,305,1,"2025-11-21 19:56:00",0,NULL,0,0,0,0,Low
T0000190,C13273,72.17,PayPal,Mobile,Germany,Electronics,1,1670,1,"2026-04-20 19:56:00",0,NULL,0,0,0,0,Low
T0000191,C14311,43.04,"Google Pay",Desktop,Germany,Electronics,0,674,0,"2026-03-07 19:56:00",0,NULL,0,0,0,0,Low
T0000192,C12969,52.69,"Credit Card",Mobile,Canada,Gaming,1,1649,0,"2025-11-23 19:56:00",0,NULL,0,0,0,0,Low
T0000193,C16711,31.21,"Debit Card",Desktop,Australia,Electronics,1,400,0,"2026-01-21 19:56:00",0,NULL,0,0,0,0,Low
T0000194,C04799,157.36,"Credit Card",Mobile,Germany,Fashion,0,1322,1,"2025-12-20 19:56:00",0,NULL,0,0,0,0,Low
